iter	Passed	Remaining
468	705	798
469	706	796
470	707	794
471	709	793
472	710	792
473	711	789
474	712	788
475	714	786
476	715	784
477	716	781
478	717	779
479	717	777
480	718	775
481	720	774
482	721	771
483	722	769
484	723	768
485	727	769
486	728	767
487	729	765
488	730	763
489	731	761
490	732	759
491	733	757
492	734	755
493	735	753
494	736	751
495	737	749
496	738	747
497	739	745
498	740	743
499	741	741
500	742	739
501	743	737
502	744	735
503	745	733
504	746	731
505	747	729
506	748	727
507	749	725
508	750	723
509	751	721
510	752	720
511	754	718
512	756	717
513	756	715
514	757	713
515	758	711
516	759	709
517	760	707
518	761	705
519	762	703
520	763	701
521	764	700
522	765	698
523	766	696
524	767	694
525	768	692
526	771	692
527	772	690
528	773	688
529	774	686
530	775	684
531	775	682
532	776	680
533	777	678
534	778	676
535	779	675
536	780	673
537	781	671
538	782	669
539	786	669
540	787	667
541	788	665
542	789	664
543	789	662
544	791	660
545	792	658
546	792	656
547	793	654
548	794	653
549	795	651
550	796	649
551	797	647
552	799	645
553	801	645
554	802	643
555	803	641
556	804	639
557	805	638
558	806	636
559	807	634
560	808	632
561	809	630
562	810	629
563	811	627
564	812	625
565	813	623
566	815	622
567	816	620
568	817	619
569	818	617
570	819	615
571	820	613
572	821	612
573	822	610
574	823	608
575	824	606
576	825	605
577	826	603
578	827	601
579	828	599
580	830	599
581	832	597
582	833	596
583	834	594
584	835	592
585	836	590
586	837	589
587	838	587
588	839	585
589	840	584
590	841	582
591	842	580
592	843	578
593	846	578
594	848	577
595	849	576
596	851	574
597	852	572
598	853	571
599	854	569
600	855	567
601	856	566
602	857	564
603	858	562
604	860	562
605	863	561
606	865	560
607	866	558
608	867	556
609	868	555
610	869	553
611	870	552
612	871	550
613	872	548
614	874	547
615	876	546
616	878	545
617	881	545
618	883	544
619	886	543
620	888	542
621	889	540
622	892	540
623	896	540
624	899	539
625	902	539
626	905	538
627	910	539
628	914	539
629	919	539
630	922	539
631	925	539
632	929	538
633	932	538
634	936	538
635	940	538
636	943	537
637	947	537
638	950	537
639	953	536
640	954	534
641	956	533
642	958	532
643	960	530
644	961	529
645	962	527
646	964	526
647	967	525
648	968	523
649	971	523
650	973	521
651	974	520
652	975	518
653	976	516
654	977	515
655	978	513
656	979	511
657	982	510
658	983	508
659	984	507
660	985	505
661	986	503
662	987	501
663	988	500
664	989	498
665	990	496
666	991	495
667	993	493
668	994	491
669	995	490
670	997	489
671	1000	488
672	1001	486
673	1002	484
674	1003	483
675	1004	481
676	1005	479
677	1006	477
678	1007	476
679	1008	474
680	1009	472
681	1010	471
682	1011	469
683	1012	467
684	1013	466
685	1014	464
686	1015	462
687	1016	461
688	1017	459
689	1018	457
690	1019	455
691	1020	454
692	1021	452
693	1022	450
694	1023	449
695	1024	447
696	1025	445
697	1026	444
698	1027	442
699	1028	440
700	1028	438
701	1029	437
702	1030	435
703	1031	433
704	1032	432
705	1033	430
706	1034	428
707	1035	427
708	1036	425
709	1037	423
710	1038	421
711	1039	420
712	1039	418
713	1041	417
714	1044	416
715	1045	414
716	1046	413
717	1047	411
718	1048	409
719	1049	408
720	1050	406
721	1051	404
722	1052	403
723	1053	401
724	1054	399
725	1055	398
726	1056	396
727	1057	395
728	1059	393
729	1060	392
730	1061	390
731	1062	388
732	1062	387
733	1063	385
734	1064	383
735	1065	382
736	1066	380
737	1067	378
738	1068	377
739	1069	375
740	1070	374
741	1071	372
742	1073	371
743	1074	369
744	1075	368
745	1076	366
746	1077	364
747	1078	363
748	1079	361
749	1080	360
750	1081	358
751	1081	356
752	1083	355
753	1084	353
754	1085	352
755	1086	350
756	1088	349
757	1089	347
758	1090	346
759	1091	344
760	1092	343
761	1093	341
762	1094	339
763	1095	338
764	1096	336
765	1097	335
766	1099	333
767	1100	332
768	1101	330
769	1102	329
770	1103	327
771	1104	326
772	1105	324
773	1106	323
774	1107	321
775	1108	319
776	1109	318
777	1110	316
778	1111	315
779	1112	313
780	1113	312
781	1114	310
782	1114	309
783	1115	307
784	1117	305
785	1118	304
786	1119	303
787	1120	301
788	1121	299
789	1122	298
790	1123	296
791	1124	295
792	1125	293
793	1126	292
794	1127	290
795	1128	289
796	1129	287
797	1130	286
798	1131	284
799	1132	283
800	1133	281
801	1134	280
802	1135	278
803	1136	277
804	1137	275
805	1138	274
806	1139	272
807	1140	271
808	1141	269
809	1143	268
810	1144	266
811	1145	265
812	1147	263
813	1148	262
814	1149	260
815	1150	259
816	1151	257
817	1152	256
818	1153	254
819	1154	253
820	1155	252
821	1157	250
822	1158	249
823	1161	248
824	1164	246
825	1165	245
826	1166	244
827	1167	242
828	1168	241
829	1169	239
830	1170	238
831	1171	236
832	1172	235
833	1173	233
834	1175	232
835	1176	230
836	1177	229
837	1178	227
838	1179	226
839	1180	224
840	1181	223
841	1182	221
842	1183	220
843	1184	218
844	1185	217
845	1186	215
846	1187	214
847	1188	212
848	1189	211
849	1190	210
850	1191	208
851	1192	207
852	1193	205
853	1194	204
854	1195	202
855	1196	201
856	1197	199
857	1198	198
858	1199	196
859	1200	195
860	1201	193
861	1202	192
862	1203	191
863	1204	189
864	1205	188
865	1206	186
866	1207	185
867	1208	183
868	1209	182
869	1210	180
870	1211	179
871	1212	178
872	1213	176
873	1214	175
874	1215	173
875	1216	172
876	1217	170
877	1218	169
878	1219	167
879	1220	166
880	1222	165
881	1223	163
882	1224	162
883	1225	160
884	1226	159
885	1227	157
886	1228	156
887	1229	155
888	1230	153
889	1231	152
890	1232	150
891	1233	149
892	1234	147
893	1235	146
894	1236	145
895	1237	143
896	1239	142
897	1239	140
898	1240	139
899	1242	138
900	1243	136
901	1244	135
902	1245	133
903	1246	132
904	1247	130
905	1248	129
906	1249	128
907	1250	126
908	1252	125
909	1253	124
910	1255	122
911	1256	121
912	1257	119
913	1258	118
914	1259	116
915	1260	115
916	1261	114
917	1262	112
918	1263	111
919	1264	109
920	1266	108
921	1267	107
922	1268	105
923	1269	104
924	1270	103
925	1271	101
926	1272	100
927	1273	98
928	1274	97
929	1275	95
930	1276	94
931	1277	93
932	1278	91
933	1279	90
934	1280	89
935	1281	87
936	1282	86
937	1283	84
938	1284	83
939	1285	82
940	1286	80
941	1287	79
942	1288	77
943	1289	76
944	1290	75
945	1291	73
946	1292	72
947	1293	70
948	1294	69
949	1295	68
950	1296	66
951	1297	65
952	1298	64
953	1300	62
954	1301	61
955	1302	59
956	1303	58
957	1304	57
958	1305	55
959	1306	54
960	1307	53
961	1308	51
962	1310	50
963	1311	48
964	1314	47
965	1315	46
966	1316	44
967	1319	43
968	1320	42
969	1321	40
970	1322	39
971	1323	38
972	1325	36
973	1327	35
974	1329	34
975	1332	32
976	1333	31
977	1336	30
978	1337	28
979	1339	27
980	1340	25
981	1343	24
982	1346	23
983	1348	21
984	1349	20
985	1351	19
986	1355	17
987	1359	16
988	1364	15
989	1366	13
990	1369	12
991	1373	11
992	1378	9
993	1381	8
994	1383	6
995	1387	5
996	1391	4
997	1395	2
998	1400	1
999	1405	0
